Entry: DiffEntry[MODIFY .gitignore] .gitignore .gitignore
Entry: DiffEntry[MODIFY README.md] README.md README.md
Entry: DiffEntry[MODIFY pom.xml] pom.xml pom.xml
Entry: DiffEntry[MODIFY src/main/java/org/dstadler/jgit/CreateNewRepository.java] src/main/java/org/dstadler/jgit/CreateNewRepository.java src/main/java/org/dstadler/jgit/CreateNewRepository.java
Entry: DiffEntry[MODIFY src/main/java/org/dstadler/jgit/OpenRepository.java] src/main/java/org/dstadler/jgit/OpenRepository.java src/main/java/org/dstadler/jgit/OpenRepository.java
Entry: DiffEntry[MODIFY src/main/java/org/dstadler/jgit/api/GetRefFromName.java] src/main/java/org/dstadler/jgit/api/GetRefFromName.java src/main/java/org/dstadler/jgit/api/GetRefFromName.java
Entry: DiffEntry[MODIFY src/main/java/org/dstadler/jgit/api/GetRevCommitFromObjectId.java] src/main/java/org/dstadler/jgit/api/GetRevCommitFromObjectId.java src/main/java/org/dstadler/jgit/api/GetRevCommitFromObjectId.java
Entry: DiffEntry[MODIFY src/main/java/org/dstadler/jgit/api/GetRevTreeFromObjectId.java] src/main/java/org/dstadler/jgit/api/GetRevTreeFromObjectId.java src/main/java/org/dstadler/jgit/api/GetRevTreeFromObjectId.java
Entry: DiffEntry[MODIFY src/main/java/org/dstadler/jgit/api/ReadBlobContents.java] src/main/java/org/dstadler/jgit/api/ReadBlobContents.java src/main/java/org/dstadler/jgit/api/ReadBlobContents.java
Entry: DiffEntry[MODIFY src/main/java/org/dstadler/jgit/api/ReadTagFromName.java] src/main/java/org/dstadler/jgit/api/ReadTagFromName.java src/main/java/org/dstadler/jgit/api/ReadTagFromName.java
Entry: DiffEntry[MODIFY src/main/java/org/dstadler/jgit/api/ResolveRef.java] src/main/java/org/dstadler/jgit/api/ResolveRef.java src/main/java/org/dstadler/jgit/api/ResolveRef.java
Entry: DiffEntry[MODIFY src/main/java/org/dstadler/jgit/api/WalkRev.java] src/main/java/org/dstadler/jgit/api/WalkRev.java src/main/java/org/dstadler/jgit/api/WalkRev.java
Entry: DiffEntry[MODIFY src/main/java/org/dstadler/jgit/helper/CookbookHelper.java] src/main/java/org/dstadler/jgit/helper/CookbookHelper.java src/main/java/org/dstadler/jgit/helper/CookbookHelper.java
Entry: DiffEntry[MODIFY src/main/java/org/dstadler/jgit/porcelain/AddFile.java] src/main/java/org/dstadler/jgit/porcelain/AddFile.java src/main/java/org/dstadler/jgit/porcelain/AddFile.java
Entry: DiffEntry[MODIFY src/main/java/org/dstadler/jgit/porcelain/CloneRemoteRepository.java] src/main/java/org/dstadler/jgit/porcelain/CloneRemoteRepository.java src/main/java/org/dstadler/jgit/porcelain/CloneRemoteRepository.java
Entry: DiffEntry[MODIFY src/main/java/org/dstadler/jgit/porcelain/CommitFile.java] src/main/java/org/dstadler/jgit/porcelain/CommitFile.java src/main/java/org/dstadler/jgit/porcelain/CommitFile.java
Entry: DiffEntry[MODIFY src/main/java/org/dstadler/jgit/porcelain/ListBranches.java] src/main/java/org/dstadler/jgit/porcelain/ListBranches.java src/main/java/org/dstadler/jgit/porcelain/ListBranches.java
Entry: DiffEntry[MODIFY src/main/java/org/dstadler/jgit/porcelain/ListTags.java] src/main/java/org/dstadler/jgit/porcelain/ListTags.java src/main/java/org/dstadler/jgit/porcelain/ListTags.java
Entry: DiffEntry[MODIFY src/main/java/org/dstadler/jgit/unfinished/PullFromRemoteRepository.java] src/main/java/org/dstadler/jgit/unfinished/PullFromRemoteRepository.java src/main/java/org/dstadler/jgit/unfinished/PullFromRemoteRepository.java
Entry: DiffEntry[MODIFY src/main/java/org/dstadler/jgit/unfinished/PushToRemoteRepository.java] src/main/java/org/dstadler/jgit/unfinished/PushToRemoteRepository.java src/main/java/org/dstadler/jgit/unfinished/PushToRemoteRepository.java
Entry: DiffEntry[MODIFY src/main/java/org/dstadler/jgit/unfinished/TrackMaster.java] src/main/java/org/dstadler/jgit/unfinished/TrackMaster.java src/main/java/org/dstadler/jgit/unfinished/TrackMaster.java
Entry: DiffEntry[ADD src/main/java/org/dstadler/jgit/unfinished/WalkTree.java] src/main/java/org/dstadler/jgit/unfinished/WalkTree.java /dev/null
